good,dirty,wait,lastyear,usa
1,0,1.59,1,0
1,0,0.77,1,0
0,0,4.99,2,0
1,0,2.41,1,0
0,0,0.36,19,0
0,0,5.12,4,0
0,0,1.11,1,0
0,0,0.61,2,0
0,4,1.11,1,0
1,0,1.11,2,0
1,0,0.77,4,0
1,0,1.69,1,0
1,0,1.51,1,0
0,0,1.69,1,0
0,1,2.14,2,0
1,0,1.29,1,0
1,0,2.51,3,0
1,0,0.61,4,0
0,0,0.61,3,0
0,0,0.77,1,0
0,0,0.69,1,0
0,0,2.14,1,0
1,0,1.29,1,0
1,0,2.51,1,0
1,0,0.52,7,0
1,0,1.29,6,0
1,1,1.62,1,0
1,0,0.77,3,0
0,0,5.37,1,0
0,0,5.37,1,0
1,0,5.37,4,0
1,0,5.37,1,0
1,0,5.37,0,0
1,0,1.59,1,0
0,0,1.51,4,0
1,0,0.52,1,0
1,0,2.94,1,0
0,0,2.94,1,0
1,0,1.51,2,0
1,0,1.92,1,0
1,0,2.94,1,0
0,0,2.66,3,0
1,0,0.69,3,0
1,0,2.21,2,0
1,0,2.66,1,0
0,0,0.69,4,0
0,0,3.19,5,0
1,0,3.14,1,0
0,2,5.37,1,0
1,0,5.37,1,0
0,0,5.37,1,0
1,0,5.37,1,0
0,0,5.37,1,0
1,0,5.37,2,0
1,0,2.06,1,0
1,0,1.42,2,0
1,0,2.27,2,0
1,0,2.87,1,0
1,0,1.21,2,0
0,0,0.94,4,0
1,0,2.72,3,0
1,0,0.94,1,0
1,0,1.42,4,0
0,0,2.56,5,0
0,0,1.42,49,0
0,0,1.42,1,0
1,0,2.44,0,0
1,0,1.99,1,0
0,0,3.14,1,0
1,0,0.69,1,0
1,0,1.62,1,0
1,0,0.44,1,0
1,0,3.42,1,0
0,0,0.94,2,0
1,0,1.42,5,0
1,0,1.49,2,1
0,0,4.66,1,1
0,0,0.94,2,1
1,0,5.21,1,1
1,0,2.21,3,1
1,0,5.04,8,1
1,0,1.29,10,1
1,0,0.52,1,1
0,0,1.02,2,1
1,0,0.52,2,1
0,0,1.51,0,1
0,1,1.02,1,1
0,0,5.04,1,1
0,0,5.04,1,1
1,0,0.52,9,1
1,0,0.52,1,1
1,0,1.29,1,1
0,0,4.84,4,1
0,0,4.84,9,1
0,0,4.96,2,1
0,0,5.37,1,1
1,1,4.47,9,1
0,0,0.44,5,1
1,0,0.44,3,1
0,0,1.21,2,1
0,0,5.04,1,1
0,0,5.21,3,1
0,0,1.21,9,1
1,0,4.47,4,1
1,0,1.19,1,1
1,0,4.47,1,1
0,0,3.87,1,1
1,0,3.87,1,1
0,0,3.02,10,1
1,0,1.21,1,1
1,0,1.21,1,1
1,0,0.69,23,1
1,0,0.69,2,1
0,0,4.96,2,1
0,0,5.21,1,1
0,0,3.87,1,1
0,0,1.21,6,1
0,0,1.21,3,1
1,0,1.21,3,1
1,0,1.42,1,1
1,0,0.69,5,1
1,0,0.44,1,1
1,0,0.44,4,1
1,0,1.86,1,1
1,0,0.44,2,1
0,0,0.94,1,1
0,2,0.44,3,1
1,0,5.21,2,1
1,0,5.21,1,1
0,0,4.96,4,1
1,0,0.44,4,1
1,0,5.21,1,1
0,1,4.96,6,1
0,0,5.21,1,1
1,0,5.21,4,1
0,0,5.37,29,1
0,0,0.69,1,1
0,0,0.52,4,1
0,1,5.21,4,1
0,0,4.47,10,1
0,0,0.69,1,1
0,0,0.69,1,1
1,2,4.47,9,1
1,0,0.44,2,1
0,0,0.36,4,1
1,0,0.36,9,1
1,0,4.47,5,1
0,0,4.96,3,1
1,0,5.29,1,1
1,0,0.77,20,1
1,0,1.29,2,1
1,0,0.61,2,1
1,0,4.66,2,1
0,0,5.29,1,1
1,0,4.96,5,1
1,0,4.96,1,1
0,1,0.36,14,1
0,1,0.86,6,1
1,0,0.44,9,1
0,0,0.69,1,1
1,0,1.86,4,1
0,1,2.06,1,1
0,3,0.94,5,1
0,0,1.42,5,1
1,0,1.62,5,1
0,0,0.94,4,1
1,0,0.69,1,1
1,0,0.94,1,1
1,0,0.44,2,1
1,0,3.22,1,1
1,0,5.21,3,1
1,0,4.47,3,1
1,0,3.01,2,1
1,0,0.44,1,1
0,0,5.17,5,1
1,0,0.82,1,1
1,0,1.07,2,1
1,0,0.41,1,1
1,0,0.57,2,1
0,0,1.04,3,1
0,0,1.52,1,1
0,1,1.94,4,1
0,0,1.52,70,1
0,2,1.71,5,1
1,0,2.89,2,1
1,0,1.26,2,1
1,0,0.66,1,1
0,0,2.77,2,1
0,1,1.89,3,1
1,0,5.17,2,1
0,0,1.47,2,1
1,0,1.14,1,1
1,0,1.26,3,1
0,0,5.26,1,1
1,0,2.04,2,1
1,0,1.67,3,1
0,0,1.91,2,1
1,0,1.91,1,1
0,1,5.19,1,1
0,2,1.01,4,1
0,0,1.91,1,1
0,0,1.91,1,1
1,0,2.32,2,1
1,0,2.66,5,1
0,0,5.29,1,1
0,0,3.47,1,1
1,0,1.99,3,1
1,0,2.27,6,1
1,0,0.77,9,1
1,0,4.96,68,1
1,1,0.44,1,1
1,0,4.84,4,1
0,1,4.84,9,1
0,0,4.49,4,1
1,0,0.44,4,1
1,0,0.69,12,1
0,0,0.69,1,1
1,0,0.36,1,1
0,0,0.69,0,1
1,0,1.21,19,1
1,1,4.47,1,1
1,0,5.21,2,1
0,0,0.91,6,1
0,0,5.21,10,1
1,0,0.69,1,1
1,0,5.21,3,1
0,0,5.21,4,1
0,0,5.21,2,1
1,0,5.21,9,1
1,0,5.04,5,1
0,0,1.02,1,1
0,0,5.29,1,1
1,0,5.17,4,1
1,0,5.04,8,1
0,0,5.04,2,1
1,0,0.77,3,1
1,0,0.52,2,1
0,0,2.94,1,1
1,0,0.69,1,1
0,0,5.04,1,1
1,0,4.84,1,1
0,0,0.44,3,1
1,0,0.52,3,1
0,0,0.77,3,1
0,0,5.04,1,1
1,0,4.47,4,1
1,0,5.04,4,1
1,0,5.21,3,1
0,0,1.21,5,1
0,0,0.94,2,1
1,0,1.21,1,1
1,0,2.44,10,1
0,0,1.42,1,1
0,0,4.49,4,1
1,0,0.69,1,1
0,0,4.96,6,1
1,0,4.84,9,1
0,0,4.47,1,1
1,0,0.36,3,1
1,0,1.21,1,1
1,0,3.01,10,1
1,0,1.21,1,1
1,0,5.21,1,1
0,1,4.47,1,1
1,0,1.86,5,1
1,0,4.47,5,1
0,0,1.42,1,1
0,0,0.69,4,1
1,0,0.69,5,1
1,0,5.21,1,1
1,0,0.94,4,1
0,1,0.44,15,1
0,0,0.36,2,1
0,0,4.47,1,1
0,0,0.44,1,1
0,0,4.96,4,1
1,0,4.47,52,1
0,0,4.96,10,1
0,0,0.69,4,1
1,0,5.21,2,1
1,0,4.84,6,1
1,0,4.47,2,1
1,0,5.21,1,1
1,0,1.21,1,1
0,0,0.44,5,1
1,0,0.94,2,1
1,0,0.69,1,1
1,0,5.21,4,1
0,0,5.04,2,1
0,0,0.61,1,1
1,0,2.27,7,1
0,0,0.36,2,1
1,0,5.21,1,1
1,0,4.96,2,1
0,0,0.94,2,1
0,0,5.21,1,1
0,0,4.47,2,1
1,0,5.21,1,1
1,0,0.69,1,1
1,0,0.69,5,1
1,0,0.44,16,1
0,0,0.69,2,1
0,0,4.47,1,1
1,0,0.69,2,1
1,0,4.47,1,1
0,0,0.69,18,1
1,0,4.96,3,1
1,0,0.69,1,1
1,0,0.69,5,1
1,0,4.96,5,1
0,0,5.04,1,1
1,0,0.69,4,1
1,0,0.94,2,1
1,0,3.01,2,1
1,0,4.47,4,1
1,0,4.66,3,1
0,0,3.59,1,1
1,0,4.47,18,1
1,0,4.96,15,1
1,0,4.14,4,1
1,0,5.21,1,1
1,0,4.47,1,1
0,0,4.47,3,1
1,0,0.69,0,1
0,0,5.21,5,1
1,0,0.52,2,0
1,0,4.96,4,0
1,0,0.86,5,0
0,0,0.86,1,0
1,0,0.36,4,0
1,0,4.84,8,0
1,0,1.36,2,0
0,0,0.86,2,0
1,0,5.04,3,0
1,0,5.12,5,0
1,0,0.61,7,0
0,0,0.36,7,0
1,0,0.36,1,0
1,0,1.11,2,0
0,0,1.11,7,0
1,0,0.61,2,0
1,0,1.11,3,0
0,0,0.36,1,0
1,0,0.36,2,0
0,0,5.29,18,1
1,0,1.69,4,1
1,0,1.51,2,1
1,0,0.52,2,1
1,0,0.61,7,1
1,0,0.77,2,1
0,0,0.69,36,1
1,0,0.77,5,1
1,0,0.77,4,1
0,0,5.29,3,1
1,0,5.29,3,1
1,0,1.02,4,1
0,0,4.66,5,1
1,0,0.77,10,1
0,0,0.44,12,1
1,0,5.29,4,1
1,0,0.61,4,1
1,0,5.29,1,1
1,0,0.77,4,1
0,0,1.29,1,1
0,0,2.51,2,1
1,0,1.29,12,1
1,0,1.69,1,1
0,0,1.69,1,1
1,0,5.04,4,1
0,0,1.29,2,1
1,0,1.29,4,1
1,0,0.52,6,1
1,0,0.77,2,1
1,0,0.94,3,1
1,0,1.29,4,1
1,3,4.66,12,1
1,0,5.29,3,1
1,0,4.14,5,1
0,0,0.77,2,1
0,0,0.52,0,1
1,0,1.21,1,0
1,0,0.44,4,0
0,0,0.77,1,0
1,0,1.21,1,0
1,0,1.62,1,0
1,0,5.21,1,0
0,0,0.52,1,0
1,0,0.61,1,0
1,0,1.36,1,0
0,0,5.21,1,0
0,0,5.21,1,0
0,0,0.61,4,0
0,2,5.21,3,0
1,0,5.37,2,0
1,0,5.37,4,0
1,0,5.37,2,0
0,0,0.86,1,0
0,0,1.99,1,0
1,0,1.59,3,0
0,0,1.59,4,0
1,0,2.41,1,0
1,0,2.27,2,0
1,0,1.59,4,0
1,0,1.59,2,0
1,0,1.69,1,0
1,0,0.61,1,0
0,0,2.41,1,0
1,0,2.84,1,0
1,0,3.94,2,0
0,0,4.07,1,0
1,0,2.56,1,0
1,0,1.21,1,0
0,0,0.86,2,0
1,0,1.36,4,0
1,0,5.37,2,0
1,0,0.52,2,1
1,0,5.04,3,1
0,0,1.29,1,1
0,0,1.29,1,1
0,0,5.29,1,1
0,0,5.29,3,1
1,0,1.51,1,1
1,0,5.29,4,1
0,0,5.04,3,1
1,0,1.02,1,1
0,0,0.69,2,1
0,0,5.21,4,1
0,0,1.62,1,1
1,1,1.62,2,1
0,2,0.69,4,1
1,0,1.21,1,1
1,0,1.62,1,1
0,0,1.21,2,1
1,0,3.22,3,1
1,0,1.21,2,1
1,0,1.21,2,1
1,1,0.69,1,1
1,0,1.62,1,1
1,0,1.62,1,1
1,0,5.21,2,1
0,0,0.36,1,1
1,0,0.44,2,1
1,0,2.06,1,1
1,0,1.86,2,1
0,0,1.69,2,0
0,1,2.79,2,0
1,0,1.36,2,0
0,0,5.37,2,0
1,0,4.66,3,0
0,0,0.77,28,0
1,0,3.39,1,0
1,0,1.29,2,0
0,0,5.29,4,0
1,0,0.61,3,0
1,0,2.06,1,0
1,0,2.16,2,0
1,0,2.81,1,0
0,0,2.01,1,0
1,0,1.31,2,0
0,0,2.81,2,0
1,0,0.81,13,0
0,1,0.36,29,1
0,1,1.11,7,1
1,0,0.61,10,1
0,1,1.11,32,1
0,0,0.36,5,1
0,0,5.21,1,1
0,0,2.97,14,1
1,0,4.96,10,1
1,0,0.61,1,1
0,0,2.86,2,1
0,0,4.31,8,1
0,0,4.84,9,1
0,0,1.11,2,1
0,0,2.79,2,1
0,0,5.12,2,1
0,0,0.61,4,1
1,0,1.11,2,1
0,1,4.16,1,1
1,0,0.61,2,1
1,0,4.66,2,1
1,0,5.12,0,1
1,0,0.61,2,1
1,0,5.29,2,1
1,0,4.66,3,1
0,1,0.86,19,1
1,0,1.11,1,1
1,0,1.11,38,1
1,0,4.31,3,1
1,0,0.61,4,1
0,0,0.61,1,1
0,0,5.12,4,1
1,0,5.21,5,1
1,0,1.51,27,1
1,1,5.04,3,1
1,0,4.01,1,1
1,0,0.52,4,1
0,0,0.52,5,1
0,0,1.92,1,1
0,0,4.66,3,1
0,0,4.47,3,1
1,0,4.69,1,1
0,0,0.77,2,1
1,0,0.52,2,1
0,0,0.52,2,1
0,0,5.29,4,1
1,0,5.29,11,1
0,0,1.02,7,1
0,0,0.52,16,1
0,2,4.66,2,1
0,0,5.29,9,1
0,0,5.29,3,1
1,0,0.52,9,1
0,0,5.37,22,1
0,0,2.06,3,1
0,0,0.36,1,1
0,0,3.72,1,1
1,0,4.74,4,1
1,1,4.59,1,1
0,0,5.21,1,1
1,0,1.21,1,1
0,0,2.06,4,1
1,0,4.91,3,1
0,0,3.54,1,1
1,0,3.84,1,1
0,0,3.52,1,1
0,0,4.59,1,1
1,0,0.94,1,1
1,0,1.21,1,1
1,0,5.19,4,1
1,0,4.94,9,1
0,0,2.99,2,1
1,0,4.79,2,1
1,0,4.94,1,1
1,0,4.81,4,1
0,0,1.17,5,1
1,0,0.67,2,1
1,0,0.67,2,1
1,0,0.67,1,1
1,0,0.67,5,1
0,0,0.42,4,1
1,0,4.42,6,1
0,0,1.17,1,1
0,0,4.42,3,1
1,0,0.67,4,1
1,0,1.17,1,1
0,0,5.19,1,1
1,0,5.02,6,1
1,0,0.51,2,1
1,0,0.44,3,1
0,1,5.21,1,1
1,0,2.44,6,1
0,0,3.01,2,1
1,0,4.96,1,1
1,0,0.69,1,1
0,0,5.37,3,1
1,0,1.99,3,1
1,0,0.61,5,1
1,0,0.61,2,1
1,0,1.77,1,1
1,0,5.12,4,1
0,0,4.31,1,1
0,0,5.14,11,1
1,0,5.22,4,1
0,0,3.11,1,1
0,0,4.52,1,1
1,0,0.46,1,1
1,0,0.71,6,1
1,0,5.22,1,1
0,0,1.87,1,1
1,0,4.52,4,1
1,0,0.96,2,1
1,0,0.71,1,1
1,0,0.96,5,1
0,0,0.71,1,1
1,0,4.52,2,1
1,0,0.99,1,1
1,0,5.26,1,1
0,0,0.74,2,1
1,0,0.74,2,1
1,0,3.76,1,1
0,0,0.74,1,1
0,0,1.26,2,1
1,0,5.37,1,1
1,0,5.37,4,1
1,0,1.02,2,1
0,0,0.69,1,1
0,0,0.94,11,1
1,0,1.62,1,1
1,0,1.62,0,1
1,0,4.96,9,1
1,0,0.44,21,1
0,0,5.21,5,1
1,0,0.69,1,1
1,0,0.44,11,1
1,0,0.44,5,1
0,0,5.21,10,1
1,0,0.94,2,1
0,0,4.96,7,1
1,0,4.96,4,1
1,0,0.61,2,1
0,0,0.44,1,1
0,0,0.69,1,1
1,0,1.11,1,1
0,0,0.44,63,1
0,1,5.12,4,1
1,0,5.21,1,1
1,0,0.44,1,1
0,0,4.96,7,1
0,0,5.21,1,1
0,0,0.69,4,1
1,0,4.96,39,1
0,0,0.44,1,1
1,0,0.36,1,1
1,0,0.36,1,1
1,0,0.61,5,1
1,0,1.42,2,1
1,0,0.61,1,1
1,0,1.59,22,1
1,0,4.84,4,1
0,0,0.61,2,1
1,0,0.61,2,1
0,0,0.86,1,1
1,0,1.99,1,1
1,0,1.29,1,1
0,0,0.36,2,1
0,0,4.96,4,1
0,0,5.12,2,1
1,0,0.36,4,1
0,0,0.44,2,1
0,0,1.11,19,1
0,0,1.99,1,1
1,1,5.12,2,1
1,0,0.36,1,1
0,2,0.61,7,1
1,0,1.11,1,1
1,0,5.12,2,1
1,0,1.11,2,1
1,0,0.61,23,1
1,0,0.61,2,1
1,0,0.77,8,1
0,0,0.86,11,1
1,0,5.12,5,1
1,0,5.12,18,1
1,0,5.12,11,1
0,0,5.12,11,1
1,0,5.12,8,1
1,0,5.12,3,1
1,0,4.96,10,1
1,0,5.12,14,1
1,0,5.12,3,1
0,0,5.12,4,1
1,0,4.96,1,1
1,0,0.69,1,1
0,0,4.84,3,1
1,0,4.96,4,1
1,0,4.84,2,1
1,0,4.96,10,1
1,0,0.61,1,1
1,0,4.47,5,1
0,0,5.12,17,1
1,0,4.96,5,1
1,1,1.11,4,1
1,0,0.61,6,1
1,0,5.12,16,1
1,0,5.12,9,1
1,0,5.12,3,1
0,0,5.12,5,1
0,0,5.12,22,1
0,0,5.12,5,1
1,0,4.47,7,1
0,0,5.04,7,1
1,0,5.12,1,1
1,0,0.36,7,1
1,0,4.31,4,1
0,0,4.66,10,1
1,0,4.31,5,1
1,0,4.84,5,1
1,0,5.04,8,1
1,0,0.44,4,1
1,0,0.69,2,1
0,0,1.42,1,1
0,0,5.21,6,1
1,0,5.21,1,1
1,0,2.44,5,1
0,0,2.06,1,1
0,0,0.36,5,1
0,0,5.21,2,1
0,0,5.21,1,1
1,0,1.11,1,1
0,2,5.29,4,1
1,0,5.21,1,1
1,1,4.89,5,1
0,0,5.21,2,1
0,5,5.21,10,1
0,0,4.47,1,1
0,2,5.21,7,1
0,0,5.21,4,1
0,0,5.21,2,1
1,0,0.69,1,0
1,0,0.69,1,0
1,0,0.44,3,0
1,0,1.62,1,0
1,0,1.21,19,0
1,0,2.06,2,0
0,0,5.12,3,0
1,0,0.69,1,0
0,0,0.69,1,0
0,0,1.62,1,0
0,0,5.21,1,0
1,0,1.62,1,0
1,0,0.69,35,0
1,0,0.69,35,0
0,0,5.37,7,0
1,0,1.21,1,0
1,0,0.69,4,0
1,0,0.69,7,0
1,0,2.76,5,0
0,0,0.69,1,0
1,0,5.04,1,0
0,0,0.69,3,0
1,0,5.37,1,0
1,0,0.94,2,1
0,0,1.11,2,1
1,0,1.62,2,1
1,0,0.94,10,1
1,0,1.31,1,1
0,0,0.94,4,1
0,0,1.02,1,1
0,0,0.94,1,1
0,0,5.29,4,1
1,0,0.77,1,1
1,0,0.94,1,1
1,0,0.44,1,1
0,0,4.96,1,1
1,0,4.96,1,1
1,0,5.21,1,1
0,0,1.21,4,1
0,0,3.87,1,1
1,0,0.44,1,1
1,0,0.69,1,1
0,1,0.44,3,1
0,1,0.94,1,1
1,0,0.69,2,1
1,0,1.29,1,0
1,0,1.29,1,0
1,0,1.69,1,0
1,0,2.51,2,0
0,0,1.29,1,0
0,0,5.29,2,0
1,0,0.77,1,0
1,0,1.42,1,0
0,2,0.77,7,0
1,0,1.02,1,0
0,0,5.29,2,0
1,0,0.61,1,0
1,0,1.29,2,0
0,0,5.37,2,0
0,0,5.37,1,0
1,0,5.37,1,0
1,0,5.37,4,0
1,0,5.37,1,0
1,0,5.37,1,0
0,0,5.37,3,0
0,0,5.37,1,0
0,0,5.37,4,0
1,0,5.37,5,0
1,0,5.37,2,0
1,0,5.37,4,0
0,0,5.37,2,0
1,0,5.37,1,0
0,0,5.37,2,0
1,0,5.37,5,0
0,0,1.84,2,0
1,0,1.91,2,0
1,0,2.91,2,0
1,0,2.32,8,0
1,0,1.91,9,0
0,0,1.01,1,0
1,0,0.51,6,0
1,0,2.64,5,0
0,0,1.49,2,0
1,0,1.91,7,0
1,0,0.76,2,0
0,0,1.91,2,0
0,1,2.12,14,0
1,0,3.17,3,0
0,0,1.27,2,0
0,0,1.49,8,0
0,0,2.91,3,0
1,0,5.37,2,0
0,0,5.37,2,0
0,0,5.37,1,0
1,0,5.37,6,0
0,0,5.37,1,0
1,0,5.37,1,0
1,0,5.37,2,0
0,0,5.37,2,0
0,0,5.37,1,0
0,0,5.37,2,0
0,0,5.37,4,0
1,0,5.37,2,0
0,0,5.37,5,0
1,0,5.37,2,0
1,0,5.37,1,0
1,0,5.37,1,0
1,0,0.94,5,1
0,0,5.29,3,1
1,0,1.42,1,1
1,0,1.11,4,1
0,0,2.87,1,1
0,2,1.86,2,1
1,2,4.86,1,1
1,0,4.86,1,1
0,0,4.96,3,1
0,0,0.44,3,1
1,0,5.21,2,1
0,0,0.44,2,1
1,0,5.21,1,1
0,0,5.21,1,1
0,0,4.64,2,1
0,0,4.64,1,1
0,0,4.96,1,1
1,0,4.62,1,1
0,0,0.44,1,1
1,0,0.44,1,1
0,0,5.37,2,1
1,0,5.37,1,1
1,1,1.41,9,1
0,0,3.69,1,1
0,0,4.22,1,1
1,0,1.01,1,1
1,2,2.99,14,1
0,1,3.86,3,1
0,0,1.61,5,1
1,0,1.61,1,1
1,0,0.67,1,1
0,0,5.19,9,1
1,0,4.94,2,1
1,0,1.17,1,1
1,0,4.26,1,1
0,0,0.42,3,1
0,0,0.67,1,1
0,0,1.61,1,1
0,0,2.74,4,1
1,0,0.67,1,1
1,0,0.67,1,1
0,0,5.19,4,1
1,0,0.67,50,1
0,0,1.17,2,1
0,0,1.17,10,1
0,0,0.67,3,1
0,0,4.94,50,1
1,0,4.42,1,1
1,0,4.24,5,1
0,0,4.94,8,1
1,0,4.81,2,1
0,0,2.44,4,1
1,2,3.52,6,1
1,0,1.36,0,1
1,0,0.69,1,1
1,0,2.06,1,1
1,0,2.06,1,1
0,0,1.21,2,1
0,0,5.21,3,1
0,0,5.21,1,1
1,0,3.02,3,1
1,1,5.21,16,1
0,0,0.44,70,1
1,1,4.96,5,1
1,0,1.62,6,1
1,0,1.21,2,1
1,0,0.69,5,1
1,0,0.52,1,1
0,0,1.62,29,1
1,1,0.44,1,1
1,0,0.94,1,1
1,0,5.21,1,1
1,0,2.06,2,1
0,0,2.72,8,1
0,2,0.94,1,1
0,0,5.21,2,1
1,0,4.96,4,1
0,0,4.66,2,1
0,0,5.21,1,1
0,0,5.21,9,1
1,0,5.12,10,1
1,0,0.69,0,1
1,0,2.06,2,1
1,0,1.62,3,1
1,0,4.81,2,1
1,0,5.27,4,1
1,0,5.11,1,1
1,0,1.34,1,1
1,0,0.84,1,1
0,0,4.81,6,1
1,0,5.02,4,1
0,0,0.59,3,1
0,0,4.81,2,1
1,0,4.24,60,1
0,0,5.11,0,1
0,0,4.42,7,1
1,1,5.02,18,1
1,0,5.36,49,1
1,0,1.34,9,1
1,0,0.84,2,1
0,0,0.59,1,1
1,1,5.36,4,1
1,0,4.81,3,1
1,0,0.84,5,1
0,0,1.86,6,0
1,0,2.06,3,0
0,0,0.52,1,0
1,0,2.06,2,0
1,0,0.94,1,0
0,0,0.69,2,0
1,0,1.62,2,0
0,0,0.77,3,0
1,0,0.52,5,0
1,0,5.21,2,0
1,1,1.62,1,0
1,0,0.69,3,0
1,0,1.62,2,0
1,0,0.69,4,0
1,0,0.44,2,0
1,0,5.21,2,0
1,0,1.21,1,0
0,0,1.62,2,0
0,0,0.69,2,0
0,1,1.51,4,1
1,1,0.36,4,1
0,1,1.51,2,1
0,0,1.02,1,1
1,0,0.52,1,1
0,0,1.02,4,1
0,0,5.04,3,1
1,0,1.92,1,1
0,0,1.02,1,1
0,0,0.77,2,1
1,0,1.92,1,1
0,0,0.77,1,1
1,0,5.29,1,1
0,1,5.04,3,1
1,0,0.36,1,1
1,0,0.52,1,1
1,0,0.52,1,1
0,0,5.29,5,1
0,0,0.52,9,1
0,0,5.04,1,1
0,0,5.04,5,1
1,0,5.37,1,1
1,0,5.04,4,1
0,0,5.04,5,1
1,0,0.52,1,1
1,0,0.61,1,1
1,0,0.61,2,1
1,0,1.11,1,1
1,0,1.99,9,1
0,0,4.96,1,1
1,0,1.99,2,1
1,0,0.86,2,1
1,0,5.29,7,1
1,0,0.36,1,1
1,0,0.86,1,1
1,0,0.86,1,1
1,0,1.77,1,1
1,0,0.86,3,1
1,0,0.36,6,1
0,0,5.29,3,1
1,0,1.36,4,1
1,0,5.12,11,1
1,0,1.59,5,1
1,0,0.94,1,1
1,0,0.94,8,1
1,0,2.44,1,1
1,0,0.69,6,1
1,0,3.89,1,1
0,0,5.21,2,1
0,0,1.21,1,1
0,0,1.62,3,1
1,0,1.21,1,1
1,0,1.21,33,1
1,0,4.11,2,1
0,0,3.91,1,1
1,0,0.77,2,1
1,0,2.51,1,1
0,0,1.29,4,1
1,0,3.24,2,1
1,0,1.62,6,0
1,0,0.94,1,0
1,0,2.06,1,0
0,0,2.06,1,0
0,0,2.06,2,0
1,0,1.86,1,0
1,0,2.89,2,0
1,0,2.44,1,0
1,0,1.21,1,0
0,0,1.86,1,0
1,0,1.62,3,0
1,0,1.62,1,0
0,0,1.62,1,0
0,0,2.06,1,0
0,0,1.02,1,0
1,0,2.06,1,0
1,0,2.06,8,0
1,1,1.21,1,0
0,2,4.84,0,0
0,0,5.21,2,0
0,0,1.62,1,0
0,0,0.86,1,0
0,0,0.86,3,0
0,1,2.86,3,0
0,0,2.76,1,0
0,0,1.21,2,0
1,0,1.36,1,0
0,0,3.14,3,0
1,0,1.36,1,0
0,0,2.56,2,0
0,0,0.87,6,0
1,0,2.56,3,0
0,0,3.32,1,0
1,0,1.36,1,0
1,0,3.52,4,0
0,0,1.29,2,0
1,0,1.36,1,0
1,0,0.86,2,0
1,0,1.77,5,0
0,0,0.69,1,0
0,0,2.76,1,0
0,0,1.59,4,0
0,0,1.11,1,0
1,0,2.14,1,0
1,0,1.29,1,0
1,0,2.14,1,0
1,0,0.77,21,0
1,1,1.69,2,0
1,0,1.69,5,0
0,0,1.29,21,0
0,0,1.92,1,0
1,0,1.29,4,0
0,0,4.04,2,0
1,0,1.11,3,0
1,0,0.44,5,0
0,0,0.77,7,0
1,0,1.92,3,0
0,0,1.92,3,0
1,0,2.79,1,0
0,0,1.79,2,0
0,0,2.14,1,0
1,0,2.36,2,0
1,0,1.69,2,0
1,0,1.69,2,0
1,0,0.77,7,0
0,0,1.77,5,0
0,0,0.77,1,0
1,0,1.99,1,0
1,0,1.99,2,0
1,0,1.11,1,0
0,0,3.21,2,0
0,0,1.59,3,0
1,0,2.76,2,0
0,0,1.59,4,0
0,0,1.11,2,0
0,0,1.11,2,0
1,0,1.77,1,0
0,0,5.37,1,0
0,0,2.41,4,0
1,0,1.59,1,0
1,0,2.97,4,0
0,0,1.59,1,0
0,0,1.59,1,0
0,0,1.11,2,0
1,0,1.11,1,0
1,0,1.11,7,0
1,1,1.11,5,0
1,0,0.61,2,0
1,0,1.59,1,0
0,0,1.59,4,0
0,0,5.37,1,0
